,incident_date,borough,zip_code
328,2015-04-02,Queens,
329,2015-04-02,Bronx,10472.0
330,2015-04-02,Queens,
331,2015-04-02,Manhattan,10032.0
332,2015-04-03,Staten Island,10312.0
333,2015-04-03,Brooklyn,11233.0
334,2015-04-03,Brooklyn,11216.0
335,2015-04-04,Manhattan,10032.0
336,2015-04-04,Bronx,10463.0
337,2015-04-04,Staten Island,10308.0
338,2015-04-04,Staten Island,10308.0
339,2015-04-04,Manhattan,
340,2015-04-04,Manhattan,10128.0
341,2015-04-04,Manhattan,10011.0
342,2015-04-05,Manhattan,
343,2015-04-05,Manhattan,10002.0
344,2015-04-05,Queens,
345,2015-04-05,Manhattan,
346,2015-04-05,Manhattan,
347,2015-04-05,Bronx,10472.0
348,2015-04-05,Staten Island,10309.0
349,2015-04-06,Queens,11368.0
350,2015-04-06,Brooklyn,11219.0
351,2015-04-06,Brooklyn,11213.0
352,2015-04-06,Brooklyn,11205.0
353,2015-04-06,Brooklyn,11212.0
354,2015-04-06,Brooklyn,11213.0
355,2015-04-06,Staten Island,10309.0
356,2015-04-06,Manhattan,10028.0
357,2015-04-07,Manhattan,
358,2015-04-08,Brooklyn,11235.0
359,2015-04-08,Staten Island,10309.0
360,2015-04-08,Manhattan,
361,2015-04-08,Brooklyn,
362,2015-04-08,Staten Island,10304.0
363,2015-04-08,Brooklyn,
364,2015-04-09,Queens,11372.0
365,2015-04-10,Staten Island,
366,2015-04-10,Staten Island,10302.0
367,2015-04-10,Brooklyn,11206.0
368,2015-04-10,Brooklyn,11224.0
369,2015-04-10,Brooklyn,11220.0
370,2015-04-10,Queens,11385.0
371,2015-04-10,Brooklyn,
372,2015-04-10,Manhattan,
373,2015-04-10,Queens,11373.0
374,2015-04-10,Queens,11368.0
375,2015-04-10,Bronx,10455.0
376,2015-04-11,Queens,11435.0
377,2015-04-11,Staten Island,
378,2015-04-11,Brooklyn,11220.0
379,2015-04-12,Brooklyn,11209.0
380,2015-04-12,Queens,11418.0
381,2015-04-12,Bronx,10467.0
382,2015-04-12,Queens,11433.0
383,2015-04-12,Manhattan,
384,2015-04-12,Brooklyn,11224.0
385,2015-04-12,Manhattan,
386,2015-04-12,Bronx,
387,2015-04-12,Queens,
388,2015-04-13,Queens,11377.0
389,2015-04-13,Brooklyn,11207.0
390,2015-04-13,Bronx,10460.0
391,2015-04-13,Queens,11432.0
392,2015-04-13,Brooklyn,11208.0
393,2015-04-14,Queens,11418.0
394,2015-04-14,Manhattan,10472.0
395,2015-04-14,Brooklyn,11216.0
396,2015-04-14,Brooklyn,11214.0
397,2015-04-14,Bronx,
398,2015-04-15,Manhattan,10039.0
399,2015-04-15,Manhattan,10027.0
400,2015-04-16,Bronx,10454.0
401,2015-04-16,Queens,11358.0
402,2015-04-16,Manhattan,
403,2015-04-16,Brooklyn,11228.0
404,2015-04-16,Brooklyn,11208.0
405,2015-04-17,Queens,11377.0
406,2015-04-17,Brooklyn,11224.0
407,2015-04-17,Brooklyn,11231.0
408,2015-04-17,Brooklyn,
409,2015-04-17,Queens,11366.0
410,2015-04-17,Staten Island,10312.0
411,2015-04-17,Queens,
412,2015-04-18,Queens,
413,2015-04-18,Queens,11354.0
414,2015-04-18,Queens,11004.0
415,2015-04-18,Manhattan,
416,2015-04-18,Staten Island,10308.0
417,2015-04-19,Staten Island,10302.0
418,2015-04-19,Manhattan,
419,2015-04-19,Manhattan,10031.0
420,2015-04-19,Manhattan,
421,2015-04-19,Brooklyn,11221.0
422,2015-04-19,Brooklyn,11218.0
423,2015-04-19,Brooklyn,11222.0
424,2015-04-20,Staten Island,10314.0
425,2015-04-20,Queens,11374.0
426,2015-04-20,Queens,11692.0
427,2015-04-20,Brooklyn,11224.0
428,2015-04-20,Manhattan,
429,2015-04-20,Manhattan,10035.0
430,2015-04-20,Staten Island,
431,2015-04-20,Queens,11377.0
432,2015-04-20,Queens,11366.0
433,2015-04-21,Queens,11369.0
434,2015-04-21,Manhattan,10013.0
435,2015-04-22,Brooklyn,11237.0
436,2015-04-22,Manhattan,10039.0
437,2015-04-22,Bronx,10453.0
438,2015-04-22,Staten Island,10304.0
439,2015-04-23,Brooklyn,11238.0
440,2015-04-23,Brooklyn,11231.0
441,2015-04-23,Queens,11369.0
442,2015-04-23,Manhattan,
443,2015-04-24,Staten Island,10309.0
444,2015-04-24,Manhattan,
445,2015-04-24,Queens,
446,2015-04-25,Queens,11362.0
447,2015-04-25,Brooklyn,11226.0
448,2015-04-25,Brooklyn,11219.0
449,2015-04-25,Brooklyn,11234.0
450,2015-04-25,Queens,
451,2015-04-25,Brooklyn,11221.0
452,2015-04-25,Brooklyn,11221.0
453,2015-04-25,Queens,11105.0
454,2015-04-26,Bronx,10456.0
455,2015-04-26,Queens,11385.0
456,2015-04-26,Manhattan,
457,2015-04-26,Bronx,10451.0
458,2015-04-26,Brooklyn,11220.0
459,2015-04-26,Brooklyn,11212.0
460,2015-04-26,Bronx,10458.0
461,2015-04-26,Queens,11366.0
462,2015-04-27,Manhattan,
463,2015-04-27,Queens,11378.0
464,2015-04-27,Staten Island,10303.0
465,2015-04-27,Manhattan,
466,2015-04-27,Brooklyn,11218.0
467,2015-04-27,Staten Island,10302.0
468,2015-04-27,Staten Island,10301.0
469,2015-04-28,Queens,11373.0
470,2015-04-28,Manhattan,
471,2015-04-28,Queens,11104.0
472,2015-04-28,Brooklyn,11234.0
473,2015-04-28,Bronx,10474.0
474,2015-04-28,Bronx,10473.0
475,2015-04-29,Bronx,10473.0
476,2015-04-29,Queens,11412.0
477,2015-04-29,Brooklyn,11223.0
478,2015-04-29,Manhattan,10026.0
479,2015-04-29,Brooklyn,11249.0
480,2015-04-29,Brooklyn,11221.0
481,2015-04-29,Queens,11412.0
482,2015-04-29,Queens,11412.0
483,2015-04-29,Brooklyn,11204.0
484,2015-04-30,Brooklyn,11231.0
485,2015-04-30,Manhattan,10011.0
486,2015-05-01,Brooklyn,11217.0
487,2015-05-01,Brooklyn,11209.0
488,2015-05-01,Brooklyn,11237.0
489,2015-05-01,Bronx,10456.0
490,2015-05-01,Brooklyn,11221.0
491,2015-05-01,Bronx,10455.0
492,2015-05-01,Brooklyn,11223.0
493,2015-05-02,Manhattan,10021.0
494,2015-05-02,Queens,11420.0
495,2015-05-02,Queens,11415.0
496,2015-05-02,Queens,11377.0
497,2015-05-02,Manhattan,10029.0
498,2015-05-02,Staten Island,10301.0
499,2015-05-02,Staten Island,
500,2015-05-02,Brooklyn,11234.0
501,2015-05-02,Manhattan,10029.0
502,2015-05-03,Manhattan,10029.0
503,2015-05-03,Queens,11435.0
504,2015-05-03,Queens,11361.0
505,2015-05-03,Manhattan,
506,2015-05-03,Manhattan,
507,2015-05-04,Brooklyn,11204.0
508,2015-05-04,Manhattan,10014.0
