,incident_date,breed,age,gender,spay_neuter_status,borough,zip_code
241,2015-03-12,chihuahua,1.0,M,True,Queens,11354
242,2015-03-12,german shepherd,1.0,M,True,Staten Island,
243,2015-03-13,border collie mix,3.0,F,True,Manhattan,10025
244,2015-03-13,pug,6.0,M,True,Brooklyn,11231
245,2015-03-13,australian border collie,4.0,M,True,Bronx,10470
246,2015-03-13,american pit bull mix / pit bull mix,2.0,F,True,Manhattan,10029
247,2015-03-14,chihuahua,3.0,M,True,Queens,11368
248,2015-03-14,westy,7.0,F,False,Queens,11361
249,2015-03-14,american pit bull mix / pit bull mix,8.0,F,True,Staten Island,10306
250,2015-03-14,poodle,8.0,M,False,Bronx,10458
251,2015-03-14,poodle,2.0,F,False,Bronx,10462
252,2015-03-14,shepherd mix,5.0,M,True,Brooklyn,11229
253,2015-03-14,chow chow,3.0,M,False,Brooklyn,11234
254,2015-03-15,chihuahua,6.0,M,False,Brooklyn,11221
255,2015-03-15,pit bull,2.0,F,True,Queens,11434
256,2015-03-15,american staffordshire terrier,8.0,M,True,Brooklyn,11230
257,2015-03-15,yorkshire terrier,4.0,M,False,Brooklyn,11205
258,2015-03-15,terrier mix,2.0,M,False,Bronx,10460
259,2015-03-16,maltese,7.0,M,True,Brooklyn,11221
260,2015-03-16,labrador retriever,6.0,F,True,Queens,11411
261,2015-03-16,yorkshire terrier,1.0,M,False,Brooklyn,11221
262,2015-03-16,puggle,9.0,M,True,Manhattan,
263,2015-03-16,american bulldog,3.0,F,True,Manhattan,10003
264,2015-03-16,american pit bull mix / pit bull mix,2.0,M,True,Brooklyn,11234
265,2015-03-17,pit bull,5.0,F,True,Manhattan,
266,2015-03-17,bull dog,5.0,M,True,Queens,11109
267,2015-03-17,american pit bull terrier/pit bull,4.0,M,False,Bronx,10472
268,2015-03-18,american pit bull terrier/pit bull,5.0,M,True,Brooklyn,11207
269,2015-03-18,siberian husky,4.0,M,False,Queens,11374
270,2015-03-18,havanese,9.0,M,True,Manhattan,10014
271,2015-03-18,maltese,1.0,F,False,Manhattan,
272,2015-03-18,american pit bull terrier/pit bull,2.0,M,False,Bronx,
273,2015-03-18,chihuahua,4.0,M,False,Staten Island,10314
274,2015-03-19,pit bull,1.0,F,False,Bronx,10472
275,2015-03-21,chihuahua shorthair/ jack russell terrier,3.0,M,False,Bronx,10452
276,2015-03-21,dachshund,11.0,F,True,Manhattan,10016
277,2015-03-21,"bull dog, french",6.0,M,True,Brooklyn,11217
278,2015-03-21,doberman pinscher,8.0,F,False,Brooklyn,11204
279,2015-03-22,"mastiff, bull",8.0,M,True,Staten Island,10310
280,2015-03-22,american pit bull terrier/pit bull,2.0,F,False,Queens,11411
281,2015-03-22,american pit bull terrier/pit bull,2.0,F,True,Queens,
282,2015-03-22,shih tzu,7.0,M,True,Brooklyn,11208
283,2015-03-22,shih tzu,2.0,M,False,Brooklyn,11223
284,2015-03-22,akita,1.0,M,False,Queens,11364
285,2015-03-22,german shepherd,5.0,F,True,Queens,11419
286,2015-03-23,norwich terrier,2.0,M,False,Manhattan,10021
287,2015-03-23,chihuahua,1.0,M,False,Queens,11373
288,2015-03-23,cotton de tulear,5.0,M,False,Queens,11373
289,2015-03-24,mixed/other,1.0,F,True,Queens,11363
290,2015-03-24,shih tzu,1.0,M,True,Manhattan,
291,2015-03-24,boxer x w/ pit bull,8.0,M,True,Brooklyn,11231
292,2015-03-24,"poodle, standard",0.0,F,False,Queens,11385
293,2015-03-25,maltese,3.0,F,False,Manhattan,10029
294,2015-03-25,terrier,5.0,M,False,Brooklyn,11027
295,2015-03-25,cocker spaniel,15.0,M,True,Staten Island,10312
296,2015-03-25,american bull,1.0,F,False,Staten Island,10301
297,2015-03-25,toy yorkie,4.0,M,True,Staten Island,10310
298,2015-03-26,pit bull,4.0,F,False,Bronx,
299,2015-03-26,siberian husky,3.0,M,True,Queens,11106
300,2015-03-26,pit bull,1.0,F,False,Manhattan,10029
301,2015-03-26,"jindo dog,",3.0,M,True,Queens,11365
302,2015-03-26,pit bull,3.0,M,False,Queens,11434
303,2015-03-26,pit bull,2.0,F,True,Queens,11436
304,2015-03-27,boxer/rhodesian ridgeback x,5.0,F,False,Brooklyn,11214
305,2015-03-28,"dachshund, long haired miniature",4.0,M,True,Brooklyn,11234
306,2015-03-29,"poodle, miniature",4.0,M,True,Queens,11373
307,2015-03-29,doberman pinscher,4.0,M,True,Staten Island,
308,2015-03-29,pit bull,1.0,M,False,Brooklyn,11224
309,2015-03-30,"bull dog, french",4.0,F,True,Bronx,10465
310,2015-03-31,pitbull/lab retriever,5.0,F,True,Brooklyn,
311,2015-03-31,"poodle, miniature",4.0,M,False,Queens,11422
312,2015-03-31,dandie dinmont terrier,1.0,M,False,Manhattan,10065
313,2015-03-31,labrador retriever,4.0,M,False,Staten Island,10304
314,2015-03-31,"dachshund, long haired",2.0,M,True,Manhattan,10013
315,2015-03-31,chihuahua,3.0,M,False,Manhattan,10065
316,2015-03-31,pit bull,0.0,F,False,Bronx,10451
317,2015-03-31,cocker spaniel,3.0,F,False,Brooklyn,
