,incident_date,breed,age,gender,spay_neuter_status
412,2015-04-18,chow chow,3.0,F,False
413,2015-04-18,german shepherd,3.0,M,True
414,2015-04-18,pit bull,6.0,F,False
415,2015-04-18,mixed/other,6.0,M,True
416,2015-04-18,cookapoo,8.0,M,True
417,2015-04-19,mixed/other,0.0,F,False
418,2015-04-19,sheperd,1.0,M,True
419,2015-04-19,lhasa apso,2.0,M,False
420,2015-04-19,boxer mix,6.0,M,True
421,2015-04-19,italian mastiff,3.0,F,False
422,2015-04-19,american pit bull terrier/pit bull,5.0,M,True
423,2015-04-19,german shepherd crossbreed,15.0,F,True
424,2015-04-20,jsck russel/dalmation,8.0,F,True
425,2015-04-20,,3.0,F,False
426,2015-04-20,pit bull,4.0,M,False
427,2015-04-20,,0.0,U,False
428,2015-04-20,chihuahua/ jack russell terrier,5.0,M,False
429,2015-04-20,chihuahua,6.0,M,False
430,2015-04-20,"collie, border",7.0,M,False
431,2015-04-20,labrador retriever,2.0,F,True
432,2015-04-20,shiba inu,9.0,F,True
433,2015-04-21,pit bull,1.0,M,True
434,2015-04-21,german shepherd crossbreed,5.0,M,True
435,2015-04-22,maltese,7.0,F,True
436,2015-04-22,american staffordshire terrier,6.0,F,False
437,2015-04-22,pit bull,1.0,M,True
438,2015-04-22,pit bull/dogo argentino,4.0,M,True
439,2015-04-23,cane corso,15.0,F,False
440,2015-04-23,parson russellterr,2.0,M,True
441,2015-04-23,pit bull,14.0,M,False
442,2015-04-23,golden retriever,5.0,M,True
443,2015-04-24,wheaton terrier,7.0,M,False
444,2015-04-24,mixed/other,8.0,F,True
445,2015-04-24,pit bull,1.0,F,False
446,2015-04-25,boxer,6.0,F,True
447,2015-04-25,shih tzu,4.0,M,True
448,2015-04-25,shih tzu,5.0,M,True
449,2015-04-25,german shepherd,7.0,M,True
450,2015-04-25,cocker spaniel,3.0,M,False
451,2015-04-25,american pit bull terrier/pit bull,3.0,M,False
452,2015-04-25,american pit bull terrier/pit bull,3.0,M,False
453,2015-04-25,chow chow,3.0,M,True
454,2015-04-26,chihuahua,0.0,M,False
455,2015-04-26,rottweiler,4.0,M,True
456,2015-04-26,german shepherd crossbreed,2.0,M,True
457,2015-04-26,pit bull,1.0,F,False
458,2015-04-26,chihuahua,2.0,F,False
459,2015-04-26,american staffordshire terrier,2.0,M,False
460,2015-04-26,bichon frise,14.0,M,False
461,2015-04-26,maltese,9.0,F,True
462,2015-04-27,border terrier,3.0,F,True
