,incident_date,breed,borough
331,2015-04-02,american pit bull terrier/pit bull,Manhattan
332,2015-04-03,yorkshire terrier,Staten Island
333,2015-04-03,yorkshire terrier,Brooklyn
334,2015-04-03,boxer/hound/pitbull,Brooklyn
335,2015-04-04,chihuahua,Manhattan
336,2015-04-04,australian shepherd,Bronx
337,2015-04-04,maltese - poodle x,Staten Island
338,2015-04-04,labrador retriever,Staten Island
339,2015-04-04,pit bull,Manhattan
340,2015-04-04,german shepherd,Manhattan
341,2015-04-04,shiba inu,Manhattan
342,2015-04-05,jack russ,Manhattan
343,2015-04-05,shih tzu,Manhattan
344,2015-04-05,siberian husky,Queens
345,2015-04-05,pit bull,Manhattan
346,2015-04-05,labrador retriever crossbreed,Manhattan
347,2015-04-05,yorkshire terrier,Bronx
348,2015-04-05,shepherd mix,Staten Island
349,2015-04-06,yorkshire terrier,Queens
350,2015-04-06,yorkshire terrier,Brooklyn
351,2015-04-06,"poodle, standard",Brooklyn
352,2015-04-06,chihuahua crossbreed,Brooklyn
353,2015-04-06,american pit bull terrier/pit bull,Brooklyn
354,2015-04-06,bull dog,Brooklyn
355,2015-04-06,shepard mix,Staten Island
356,2015-04-06,pit bull,Manhattan
357,2015-04-07,belgian malinois,Manhattan
358,2015-04-08,catahoula leopard dog,Brooklyn
359,2015-04-08,golden retriever,Staten Island
360,2015-04-08,chihuahua,Manhattan
361,2015-04-08,husky/cattle dog mix,Brooklyn
362,2015-04-08,labrador retriever crossbreed,Staten Island
363,2015-04-08,husky/cattle mix,Brooklyn
364,2015-04-09,shih tzu,Queens
365,2015-04-10,akita,Staten Island
366,2015-04-10,pit bull,Staten Island
367,2015-04-10,cocker spaniel crossbreed,Brooklyn
368,2015-04-10,american pit bull terrier/pit bull,Brooklyn
369,2015-04-10,"bull dog, english",Brooklyn
370,2015-04-10,labrador retriever crossbreed,Queens
371,2015-04-10,american pit bull terrier/pit bull,Brooklyn
372,2015-04-10,west high white terrier,Manhattan
373,2015-04-10,chihuahua,Queens
374,2015-04-10,maltese,Queens
375,2015-04-10,american pit bull terrier/pit bull,Bronx
376,2015-04-11,pit bull,Queens
377,2015-04-11,maltese,Staten Island
378,2015-04-11,american pit bull terrier/pit bull,Brooklyn
379,2015-04-12,german shepherd,Brooklyn
380,2015-04-12,maltese,Queens
381,2015-04-12,shih tzu,Bronx
382,2015-04-12,pit bull,Queens
383,2015-04-12,pit bull,Manhattan
384,2015-04-12,chihuahua,Brooklyn
385,2015-04-12,pit bull,Manhattan
386,2015-04-12,jack russ,Bronx
387,2015-04-12,pit bull,Queens
388,2015-04-13,pit bull,Queens
389,2015-04-13,pit bull,Brooklyn
390,2015-04-13,pit bull,Bronx
